"Series","GBPUSD Spot 3m 5m"
"Signal","CGO"
"Generations","1000"
"Ending","max generations were reached"
"Best Strategy","0000000000000000000000000000000000000001000000000000000000010000	","Accuracy","0.552143044965"
"Unique Strats","9123"
"0","0.499923423613","0.52642650539","0.473205364186"
"1","0.503343502498","0.537049697607","0.474888246121"
"2","0.505515834867","0.537049697607","0.47914804102"
"3","0.507426331843","0.537049697607","0.475940047331"
"4","0.508956881409","0.537049697607","0.482829345254"
"5","0.510170775703","0.537049697607","0.478201419932"
"6","0.511231117539","0.538890349724","0.480778332895"
"7","0.512032952932","0.538890349724","0.483302655798"
"8","0.512906621089","0.538890349724","0.484407047068"
"9","0.513448614252","0.538890349724","0.486721009729"
"10","0.514036755193","0.538890349724","0.488246121483"
"11","0.514589881672","0.538890349724","0.485248488036"
"12","0.515054341309","0.538890349724","0.488035761241"
"13","0.515569744938","0.538890349724","0.488246121483"
"14","0.515969697607","0.538890349724","0.48351301604"
"15","0.516356460689","0.538890349724","0.483670786221"
"16","0.516754425454","0.538890349724","0.486510649487"
"17","0.517014414936","0.540573231659","0.484196686826"
"18","0.517377633447","0.540573231659","0.490875624507"
"19","0.517643960032","0.540573231659","0.491664475414"
"20","0.517816381804","0.540573231659","0.489876413358"
"21","0.518142440179","0.540573231659","0.492137785958"
"22","0.518320489088","0.540573231659","0.487194320273"
"23","0.518469271628","0.540573231659","0.491506705233"
"24","0.518847783329","0.540573231659","0.490980804628"
"25","0.519051548777","0.544780436498","0.491980015777"
"26","0.519202361294","0.544780436498","0.491348935051"
"27","0.519391848541","0.544780436498","0.488929792269"
"28","0.519569808046","0.544780436498","0.491085984749"
"29","0.519777007626","0.544780436498","0.489929003418"
"30","0.519884217723","0.544780436498","0.490823034446"
"31","0.520058948199","0.544780436498","0.488403891664"
"32","0.520216024191","0.544780436498","0.490560084144"
"33","0.520304228241","0.544990796739","0.494241388378"
"34","0.520504349198","0.544990796739","0.488298711544"
"35","0.520739978964","0.544990796739","0.494293978438"
"36","0.52075735472","0.544990796739","0.493031816987"
"37","0.520946910334","0.544990796739","0.490665264265"
"38","0.521144422824","0.544990796739","0.488877202209"
